Title,Year,Rated,Released,Runtime,Metascore,imdbRating,Type,BoxOffice
Brand New Cherry Flavor,2021,TV-MA,13 Aug 2021,N/A,N/A,7.1,series,na
Fast & Furious 6,2013,PG-13,24 May 2013,130 min,61,7.0,movie,"$238,679,850"
Gone for Good,2021,TV-MA,13 Aug 2021,N/A,N/A,6.3,series,na
Grace and Frankie,2015–2022,TV-MA,08 May 2015,30 min,N/A,8.2,series,na
The Kingdom,2007,R,28 Sep 2007,2 min,56,7.0,movie,"$47,536,778"
Valeria,2020–,TV-MA,08 May 2020,N/A,N/A,6.5,series,na
AlRawabi School for Girls,2021–2022,TV-14,12 Aug 2021,1 min,N/A,7.4,series,na
Lokillo: Nothing's the Same,2021,N/A,12 Aug 2021,63 min,N/A,4.7,movie,N/A
Monster Hunter: Legends of the Guild,2021,TV-14,12 Aug 2021,58 min,N/A,5.1,movie,N/A
Bake Squad,2021–,TV-PG,11 Aug 2021,N/A,N/A,6.9,series,na
Brother Jekwu,2016,N/A,N/A,103 min,N/A,N/A,movie,N/A
Misha and the Wolves,2021,PG-13,11 Aug 2021,2 min,63,6.7,movie,N/A
The Kissing Booth 3,2021,TV-14,11 Aug 2021,2 min,36,4.7,movie,N/A
The Railway Man,2013,R,23 May 2014,2 min,59,7.1,movie,"$4,438,438"
Gabby's Dollhouse,2021–,TV-Y,04 Jan 2021,1 min,N/A,7.0,series,na
I Need Romance,2011–,N/A,08 Jun 2011,45 min,N/A,7.0,series,na
Las muñecas de la mafia,2009–,TV-MA,08 Aug 2009,N/A,N/A,6.6,series,na
The Crowned Clown,2019,N/A,07 Jan 2019,31S min,N/A,8.0,series,na
Untold: Malice at the Palace,2021,TV-MA,10 Aug 2021,2 min,N/A,7.5,movie,N/A
Shaman King,2001–2005,TV-Y7,04 Jul 2001,23 min,N/A,8.0,series,na
Quartet,2012,PG-13,01 Mar 2013,2 min,64,6.8,movie,"$18,390,117"
Slay,2021,N/A,26 Apr 2021,93 min,N/A,3.3,movie,N/A
The Paper Tigers,2020,PG-13,07 May 2021,2 min,67,6.3,movie,"$112,691"
HIT,2020,Not Rated,28 Feb 2020,2 min,N/A,7.6,movie,N/A
Navarasa,2021–,TV-MA,06 Aug 2021,1 min,N/A,5.8,series,na
Quam's Money,2020,N/A,11 Dec 2020,120 min,N/A,3.8,movie,N/A
The Swarm,1978,PG,14 Jul 1978,2 min,30,4.5,movie,N/A
Vivo,2021,PG,06 Aug 2021,95 min,66,6.6,movie,N/A
Chennai Express,2013,Not Rated,08 Aug 2013,2 min,45,6.0,movie,"$5,307,960"
City of God: 10 Years Later,2013,PG-13,20 Oct 2014,70 min,N/A,6.4,movie,N/A
Esperando la carroza 2: Se acabó la fiesta,2009,N/A,02 Apr 2009,88 min,N/A,3.2,movie,N/A
Lady Boss: The Jackie Collins Story,2021,TV-14,27 Jun 2021,2 min,70,6.8,movie,N/A
